3000,13,c,d,e,f,g,h,i,j,k,l,m,n
-1,1,-2.71E-20,0,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,0,-0.937483868
-0.937483868,0.934294923,6.417883107,-6.824940882,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,0.2,-0.875523116
-0.875523116,0.868403511,5.98042588,-6.357834228,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,0.4,-0.81777341
-0.81777341,0.807034682,5.574319839,-5.921087119,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,0.6,-0.763944267
-0.763944267,0.749882381,5.195973643,-5.514174551,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,0.8,-0.713767811
-0.713767811,0.696658575,4.843474077,-5.135056046,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,1,-0.666994522
-0.666994522,0.647094948,4.515056423,-4.781834082,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,1.2,-0.623391904
-0.623391904,0.600941481,4.209074711,-4.452738686,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,1.4,-0.582743359
-0.582743359,0.557965256,3.923997093,-4.146122622,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,1.6,-0.544847062
-0.544847062,0.517949238,3.658395258,-3.860449983,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,1.8,-0.509514982
-0.509514982,0.480691226,3.410938944,-3.5942903,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,2,-0.476571942
-0.476571942,0.446002845,3.180388185,-3.346310203,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,2.2,-0.445854727
-0.445854727,0.413708576,2.965588166,-3.115267879,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,2.4,-0.417211268
-0.417211268,0.38364489,2.765463736,-2.900007192,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,2.6,-0.390499887
-0.390499887,0.355659432,2.579011296,-2.699448939,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,2.8,-0.365588586
-0.365588586,0.329610255,2.405297251,-2.512589197,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,3,-0.342354382
-0.342354382,0.305365107,2.243452113,-2.338492973,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,3.2,-0.320682692
-0.320682692,0.282800766,2.092664408,-2.176287671,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,3.4,-0.300466763
-0.300466763,0.261802434,1.9521784,-2.025160618,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,3.6,-0.281607133
-0.281607133,0.242263152,1.82129096,-1.884355717,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,3.8,-0.264011137
-0.264011137,0.224083266,1.699346562,-1.753168061,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,4,-0.247592435
-0.247592435,0.20716993,1.585733795,-1.630940178,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,4.2,-0.232270592
-0.232270592,0.191436643,1.479883387,-1.51705991,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,4.4,-0.217970662
-0.217970662,0.176802809,1.38126552,-1.410957526,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,4.6,-0.204622822
-0.204622822,0.16319334,1.289386131,-1.312101742,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,4.8,-0.192162018
-0.192162018,0.150538275,1.203784506,-1.219997136,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,5,-0.18052764
-0.18052764,0.138772434,1.12403184,-1.134182597,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,5.2,-0.169663218
-0.169663218,0.12783509,1.049728877,-1.054228791,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,5.4,-0.15951614
-0.15951614,0.11766966,0.980503266,-0.979735314,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,5.6,-0.150037389
-0.150037389,0.10822343,0.916007858,-0.910328862,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,5.8,-0.141181295
-0.141181295,0.099447287,0.855919651,-0.845662099,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,6,-0.13290531
-0.13290531,0.09129547,0.79993769,-0.785411395,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,6.2,-0.12516979
-0.12516979,0.083725346,0.747781465,-0.729275107,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,6.4,-0.117937802
-0.117937802,0.076697192,0.699189575,-0.676972138,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,6.6,-0.111174933
-0.111174933,0.070174002,0.653918398,-0.628240511,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,6.8,-0.104849124
-0.104849124,0.064121294,0.611741099,-0.582836298,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,7,-0.098930504
-0.098930504,0.058506944,0.57244639,-0.540532293,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,7.2,-0.093391244
-0.093391244,0.053301021,0.535837392,-0.501116781,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,7.4,-0.088205416
-0.088205416,0.048475638,0.501730632,-0.464392467,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,7.6,-0.083348861
-0.083348861,0.044004814,0.469955142,-0.430175496,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,7.8,-0.078799074
-0.078799074,0.039864343,0.440351615,-0.39829456,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,8,-0.074535086
-0.074535086,0.03603167,0.412771624,-0.368590046,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,8.2,-0.070537359
-0.070537359,0.032485785,0.387076944,-0.340913312,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,8.4,-0.066787693
-0.066787693,0.029207108,0.363138821,-0.315125902,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,8.6,-0.063269128
-0.063269128,0.026177399,0.34083727,-0.291098789,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,8.8,-0.059965865
-0.059965865,0.023379665,0.320060485,-0.268711741,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,9,-0.056863184
-0.056863184,0.020798071,0.300704283,-0.247852722,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,9.2,-0.053947369
-0.053947369,0.018417867,0.282671537,-0.228417285,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,9.4,-0.051205644
-0.051205644,0.016225306,0.265871872,-0.210308244,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,9.6,-0.048626103
-0.048626103,0.014207583,0.250221069,-0.19343503,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,9.8,-0.046197657
-0.046197657,0.012352769,0.235640727,-0.177713336,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.043911262
-0.043911262,0.010648425,0.221754268,-0.163372627,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.041759589
-0.041759589,0.009081867,0.208730256,-0.150099293,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.039733762
-0.039733762,0.007643348,0.196574913,-0.137753661,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.037825392
-0.037825392,0.006323916,0.185229404,-0.126271797,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.036026659
-0.036026659,0.005115231,0.174638503,-0.115594372,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.034330276
-0.034330276,0.004009529,0.164751058,-0.105666453,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.032729452
-0.032729452,0.002999576,0.155519192,-0.096436624,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.031217858
-0.031217858,0.002078632,0.14689797,-0.087856631,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.029789594
-0.029789594,0.001240423,0.13884637,-0.079882431,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.028439163
-0.028439163,0.000479105,0.131325187,-0.072471929,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.027161441
